BGEE00001,A Clean House 100% Cotton T-Shirt,550,1999,1299,Shop A Clean House 100% Cotton T-Shirt | Bargain.pk,a-clean-house-t-shirt,a clean house is a sign of broken computer
BGEE00002,Are You an Exception? Printed T-shirt,400,1799,1099,Shop Are You an Exception Printed T-shirt| Bargain.pk,are-you-an-exception-t-shirt,are you an exception I bet I can catch you
BGEE00003,Bitcoin Free your Money Geek Cotton T-shirt,400,1799,1099,Shop Bitcoin Free your Money Geek Cotton T-shirt | Bargain.pk,bitcoin-free-your-money-geek-t-shirt,bitcoin free your money
BGEE00004,Eat Sleep Code Repeat Cotton T-Shirt,400,1799,1099,Shop Eat Sleep Code Repeat Cotton T-Shirt Online | Bargain.pk,eat-sleep-code-repeat-t-shirt,eat sleep code repeat
BGEE00005,The Future is Exciting Round Neck T-shirt,400,1799,1099,Shop The Future is Exciting Round Neck T-shirt | Bargain.pk,the-future-is-exciting-round-neck-t-shirt,the future Is exciting
BGEE00006,GEEK 100% Cotton Printed T-Shirt,400,1799,1099,Shop GEEK 100% Cotton Printed T-Shirt | Bargain.pk,geek-t-shirt,GEEK 
BGEE00007,Geek Life Cotton T-Shirt,400,1799,1099,Shop Geek Life Cotton T-Shirt Online| Bargain.pk,geek-life-t-shirt,Geek life is just like normal life with wizards and dragons
BGEE00008,Hell is Wallpapered Printed T-Shirt,400,1799,1099,Shop Hell is Wallpapered Printed T-Shirt  | Bargain.pk,hell-is-wallpapered-t-shirt,Hell is wallpapered with all your deleted files
BGEE00009,I love the f5 key Geek Cotton T-Shirt,550,1999,1299,Shop I love the f5 key Geek Cotton T-Shirt | Bargain.pk,i-love-the-f5-key-geek-t-shirt,I love the f5 key its just so refreshing
BGEE000010,Internet was Down 100% Pure Cotton T-Shirt,400,1799,1099,Shop Internet was Down 100% Pure Cotton T-Shirt  | Bargain.pk,internet-was-down--t-shirt,internet was down so I thought I come outside
BGEE000011,Is your name wifi? Geek Printed T-Shirt,400,1799,1099,Shop Is your name wifi Geek Printed T-Shirt | Bargain.pk,is-your-name-wifi-geek-t-shirt,is your name wifi because I m feeling a connection
BGEE000012,Linux Reboot Geek Printed T-shirt,400,1799,1099,Shop Linux Reboot Geek Printed T-shirt  | Bargain.pk,linux-reboot-geek-t-shirt,linux reboot
BGEE000013,The Only Dates I Get Cotton T-Shirt,400,1799,1099,ShopThe Only Dates I Get Cotton T-Shirt | Bargain.pk,the-only-dates-i-get-t-shirt,the only dates I get these days are software updates
BGEE000014,What Does Computers Eat Geek Printed T-Shirt,400,1799,1099,Shop What Does Computers Eat Geek Printed T-Shirt | Bargain.pk,what-does-computers-eat-geek-t-shirt,what do computers eats for snacks microchips
BGEE000015,You have the Nicest Syntax Geek Cotton T-Shirt,400,1799,1099,Shop You have the Nicest Syntax Geek Cotton T-Shirt | Bargain.pk,you-have-the-nicest-syntax-geek-t-shirt,You have the nicest syntax ive ever seen
